date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:11	700/700	---M--	200	added ('OK')	image/png	etag:%222bc-571b0dea42b50%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/balloon-twitter.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/balloon-twitter.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:11	648/648	---M--	200	added ('OK')	image/png	etag:%22288-571b0de700d92%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/battery-full.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/battery-full.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:11	621/621	---M--	200	added ('OK')	image/png	etag:%2226d-571b0de700d92%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/binocular.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/binocular.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:11	688/688	---M--	200	added ('OK')	image/png	etag:%222b0-571b0de5433dc%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-excel.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-excel.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:11	700/700	---M--	200	added ('OK')	image/png	etag:%222bc-571b0de542038%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-image.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-image.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:12	647/647	---M--	200	added ('OK')	image/png	etag:%22287-571b0de2f31e2%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-music.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-music.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:12	763/763	---M--	200	added ('OK')	image/png	etag:%222fb-571b0de2f1e75%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-office.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-office.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:12	690/690	---M--	200	added ('OK')	image/png	etag:%222b2-571b0de15f069%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-pdf.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-pdf.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:13	709/709	---M--	200	added ('OK')	image/png	etag:%222c5-571b0de0fae6b%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-powerpoint.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-powerpoint.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:13	691/691	---M--	200	added ('OK')	image/png	etag:%222b3-571b0ddf29c45%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-word.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/blue-document-word.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:13	635/635	---M--	200	added ('OK')	image/png	etag:%2227b-571b0ddd78592%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/bookmark.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/bookmark.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:13	590/590	---M--	200	added ('OK')	image/png	etag:%2224e-571b0ddbe0986%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/camcorder.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/camcorder.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:13	635/635	---M--	200	added ('OK')	image/png	etag:%2227b-571b0ddfa9f5e%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/camera.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/camera.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:14	659/659	---M--	200	added ('OK')	image/png	etag:%22293-571b0dd6a8739%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/chart.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/chart.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:14	1686/1686	---M--	200	added ('OK')	image/png	etag:%22696-571b0dda3a2d6%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/chart-pie.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/chart-pie.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:14	706/706	---M--	200	added ('OK')	image/png	etag:%222c2-571b0dd4ead68%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/clock.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/clock.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:14	470/470	---M--	200	added ('OK')	image/png	etag:%221d6-571b0dd727f1c%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/control.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/control.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:14	606/606	---M--	200	added ('OK')	image/png	etag:%2225e-571b0dd1880a7%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/fire.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/fire.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:15	792/792	---M--	200	added ('OK')	image/png	etag:%22318-571b0dcfabe47%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/heart.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/heart.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:15	505/505	---M--	200	added ('OK')	image/png	etag:%221f9-571b0dcedd949%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/mail.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/mail.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:15	756/756	---M--	200	added ('OK')	image/png	etag:%222f4-571b0dcdc38e0%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/plus-shield.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/plus-shield.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:15	657/657	---M--	200	added ('OK')	image/png	etag:%22291-571b0dcd34b52%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/icons/video.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/icons/video.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:15	223/223	---M--	200	added ('OK')	image/png	etag:%22df-571b0dc636ed9%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/toggle_open.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/toggle_open.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:16	168/168	---M--	200	added ('OK')	image/png	etag:%22a8-571b0dc635b78%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/toggle_close.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/toggle_close.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:16	198/198	---M--	200	added ('OK')	image/png	etag:%22c6-571b0dc825605%22	http://localhost/francist/wp-content/plugins/js_composer/assets/images/flickr.png	/profile/localhost/francist/wp-content/plugins/js_composer/assets/images/flickr.png	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:16	6024/6024	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221788-571b0dc44d5cf%22	http://localhost/francist/wp-content/plugins/js_composer/assets/fonts/vc_grid/vc_grid_v1.eot?-9hbgac	/profile/localhost/francist/wp-content/plugins/js_composer/assets/fonts/vc_grid/vc_grid_v157a1.eot	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:16	6024/6024	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221788-571b0dc44d5cf%22	http://localhost/francist/wp-content/plugins/js_composer/assets/fonts/vc_grid/vc_grid_v1.eot?	/profile/localhost/francist/wp-content/plugins/js_composer/assets/fonts/vc_grid/vc_grid_v1d41d.eot	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:17	5924/5924	---M--	200	added ('OK')	font/woff	etag:%221724-571b0dc09b326%22	http://localhost/francist/wp-content/plugins/js_composer/assets/fonts/vc_grid/vc_grid_v1.woff?-9hbgac	/profile/localhost/francist/wp-content/plugins/js_composer/assets/fonts/vc_grid/vc_grid_v157a1.woff	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:17	5848/5848	---M--	200	added ('OK')	font/ttf	etag:%2216d8-571b0dc209792%22	http://localhost/francist/wp-content/plugins/js_composer/assets/fonts/vc_grid/vc_grid_v1.ttf?-9hbgac	/profile/localhost/francist/wp-content/plugins/js_composer/assets/fonts/vc_grid/vc_grid_v157a1.ttf	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
16:34:17	13257/13257	---M--	200	added ('OK')	image/svg+xml	etag:%2233c9-571b0dc37b602%22	http://localhost/francist/wp-content/plugins/js_composer/assets/fonts/vc_grid/vc_grid_v1.svg?-9hbgac	/profile/localhost/francist/wp-content/plugins/js_composer/assets/fonts/vc_grid/vc_grid_v157a1.svg	(from http://localhost/francist/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2.1)
